id	name	cost	power	kind	tags	archetype	slot	text	domain
082	Adrenal Graft	3	3	Object	Bio	Biohack / Cyberware	Modified payoff	When this gains Power, draw a card.	modified power
083	Wetware Saint	4	5	Character	Bio AI	Biohack / Cyberware	Bridge to Nanotech	Ongoing: Your cards with increased Power have +1 Power.	modified power
084	Illegal Implant	5	8	Object	Bio Tech	Biohack / Cyberware	Bridge to Black Market	Costs 1 less if you reduced a card's Cost this game.	cost reduced
085	Camera Rat	1	2	Object	Hacker Drone	Surveillance	Enemy hand size payoff	On Reveal: If your opponent has 5 or more cards in hand, gain +2 Power.	enemy hand size
086	Blackmail File	2	2	Object	Hacker Corp	Surveillance	Hand disruption	On Reveal: Increase the Cost of a random card in your opponent's hand by 1.	enemy hand contents
087	Predictive Cop	3	3	Character	AI Military	Surveillance	Prediction payoff	On Reveal: If your opponent played here this turn, gain +4 Power.	enemy played here
088	Panopticon AI	5	5	Object	AI Hacker	Surveillance	Surveillance payoff	Ongoing: Enemy cards added to hand have -1 Power.	enemy created cards
089	Junk Packet	1	1	Object	Hacker Tech	Malware	Junk creator	On Reveal: Add a 0-Power Junk card to your opponent's deck.	enemy deck
090	Deck Worm	2	2	Object	Hacker AI	Malware	Top-deck modifier	On Reveal: Give the top card of your opponent's deck -3 Power.	enemy deck contents
091	Data Leech	3	3	Character	Hacker	Malware	Enemy deck copy	On Reveal: Add a copy of the top card of your opponent's deck to your hand.	enemy deck contents + created cards
092	Corruption Bloom	4	4	Object	AI Hacker	Malware	Malware payoff	Ongoing: Enemy cards with reduced Power have -1 Power.	modified power
093	Memory Burner	2	4	Object	Hacker	Discard / Memory Wipe	Self-discard cost	On Reveal: Discard the lowest-Cost card in your hand.	discarded cards
094	Backup Ghost	3	3	Character	AI	Discard / Memory Wipe	Discard recovery	On Reveal: Add a card you discarded this game to your hand.	discarded card records
095	Street Samurai	2	4	Character	Merc	Generic	Simple rate card	No ability.	baseline stats
096	Armored Van	3	5	Object	Military Tech	Generic	Simple rate card	No ability.	baseline stats
097	Night Market Scout	1	1	Character	Merc	Generic	Simple draw	On Reveal: Draw a card if your hand is empty.	hand size
098	Metro Enforcer	4	7	Character	Military	Generic	Simple condition	If this is your only card here, this has +2 Power.	cards in lane
099	Cheap Drone	1	1	Object	Drone	Generic	Simple token body	No ability.	cheap cards
100	Loaded Suit	5	8	Character	Corp	Generic	Simple big card	No ability.	baseline stats
101	Union Rep	2	2	Character	Corp Merc	Counter / Tech	Anti-destroy	Ongoing: Your cards here cannot be destroyed by your own cards.	destroy prevention
102	White-Hat Auditor	3	3	Character	Hacker Corp	Counter / Tech	Anti-created	On Reveal: Enemy created cards here lose their text.	enemy created cards
103	EMP Grenade	3	2	Object	Military Tech	Counter / Tech	Anti-Ongoing	On Reveal: Disable Ongoing effects here this turn.	ongoing text
104	Kill Switch	4	4	Object	Hacker Tech	Counter / Tech	Anti-copy	On Reveal: Remove copied text from cards here.	copied text
105	Hard Reset	5	5	Object	AI Hacker	Counter / Tech	Anti-modified	On Reveal: Reset all cards here to base Power.	modified power
