deck_name	card_id	card_name	cost	power	type	tags	archetype	text
Deck 05 — Hacker Control	103	EMP Grenade	3	2	Object	Military Tech	Counter / Tech	On Reveal: Disable Ongoing effects here this turn.
Deck 05 — Hacker Control	105	Hard Reset	5	5	Object	AI Hacker	Counter / Tech	On Reveal: Reset all cards here to base Power.
Deck 06 — Black Market Tempo	008	Bone Market	4	4	Object	Tech	Destroy	On Reveal: Add a random card to your hand and destroy your lowest-Power card here.
Deck 06 — Black Market Tempo	026	Dead Drop	3	1	Object	Tech	Fixer	On Reveal: Add a random card to your hand that costs 1 less next turn.
Deck 06 — Black Market Tempo	047	Black Market Dealer	2	2	Character	Merc	Black Market	On Reveal: Add a random card to your hand that costs 2 less next turn.
Deck 06 — Black Market Tempo	048	Overclock Chip	1	0	Object	Tech	Black Market	On Reveal: Give a friendly card here +5 Power and destroy it next turn.
Deck 06 — Black Market Tempo	049	Borrowed Gun	1	3	Object	Tech Military	Black Market	End of Turn: Destroy this if it was created.
Deck 06 — Black Market Tempo	050	Illegal Clone	2	2	Character	Bio	Black Market	When Destroyed: Add a copy of this to your hand.
Deck 06 — Black Market Tempo	051	Knockoff Cyberarm	3	5	Object	Bio Tech	Black Market	End of Turn: If this has increased Power, destroy it.
Deck 06 — Black Market Tempo	052	Grey Market Cache	3	2	Object	Tech	Black Market	On Reveal: Reduce the Cost of a created card in your hand by 2.
Deck 06 — Black Market Tempo	053	Debt Collector	4	6	Character	Corp Merc	Black Market	On Reveal: Gain +1 Power for each card whose Cost you reduced this game.
Deck 06 — Black Market Tempo	054	Ghost Vendor	4	4	Character	Hacker Merc	Black Market	On Reveal: Replace a created card in your hand with a random card that costs 1 more.
Deck 06 — Black Market Tempo	055	Hot Merchandise	5	9	Object	Tech	Black Market	When Played: Destroy this at the end of next turn.
Deck 06 — Black Market Tempo	056	Kingpin Broker	6	7	Character	Merc Corp	Black Market	On Reveal: Give your discounted cards +2 Power.
Deck 07 — Overclock Battery	057	Battery Monk	1	2	Character	Bio	Overclock	If you ended last turn with unspent Energy, this has +2 Power.
Deck 07 — Overclock Battery	058	Capacitor Drone	2	2	Object	Drone Tech	Overclock	End of Turn: If you have unspent Energy, this gains +1 Power.
Deck 07 — Overclock Battery	059	Quiet Protocol	2	0	Object	AI Hacker	Overclock	Ongoing: Your cards have +1 Power if you ended last turn with unspent Energy.
Deck 07 — Overclock Battery	060	Stored Charge	3	3	Object	Tech	Overclock	Costs 1 less if you had unspent Energy last turn.
Deck 07 — Overclock Battery	061	Ambush Runner	3	4	Character	Merc	Overclock	On Reveal: If you played no cards last turn, gain +4 Power.
Deck 07 — Overclock Battery	062	Silent Engine	4	5	Object	AI Tech	Overclock	End of Turn: If you have unspent Energy, give your Ongoing cards +1 Power.
Deck 07 — Overclock Battery	063	Delayed Payload	5	7	Object	Tech Military	Overclock	Costs 2 less if you spent no Energy last turn.
Deck 07 — Overclock Battery	064	Neon Singularity	6	6	Object	AI Tech	Overclock	On Reveal: Gain +2 Power for each unspent Energy you had last turn.
Deck 07 — Overclock Battery	029	Nano Swarm	1	1	Object	AI Tech	Nanotech / AI	Ongoing: This has +1 Power for each other card here.
Deck 07 — Overclock Battery	031	Adaptive Shell	2	2	Object	Tech Bio	Nanotech / AI	End of Turn: If this is your only card here, give it +2 Power.
Deck 07 — Overclock Battery	047	Black Market Dealer	2	2	Character	Merc	Black Market	On Reveal: Add a random card to your hand that costs 2 less next turn.
Deck 07 — Overclock Battery	052	Grey Market Cache	3	2	Object	Tech	Black Market	On Reveal: Reduce the Cost of a created card in your hand by 2.
Deck 08 — Swarm / Gang	029	Nano Swarm	1	1	Object	AI Tech	Nanotech / AI	Ongoing: This has +1 Power for each other card here.
Deck 08 — Swarm / Gang	030	Signal Booster	2	1	Object	AI Tech	Nanotech / AI	Ongoing: Your other cards here have +1 Power.
Deck 08 — Swarm / Gang	034	Replication Node	4	3	Object	AI Tech	Nanotech / AI	On Reveal: Add a 1-Power Drone here.
Deck 08 — Swarm / Gang	065	Street Kid	1	2	Character	Merc	Swarm / Gang	No ability.
Deck 08 — Swarm / Gang	066	Drone Pup	1	1	Object	Drone	Swarm / Gang	When Destroyed: Add a 1-Power Drone to your hand.
Deck 08 — Swarm / Gang	067	Gang Lookout	1	1	Character	Merc	Swarm / Gang	After you play a card here, this gains +1 Power.
Deck 08 — Swarm / Gang	068	Drone Printer	2	1	Object	Drone Tech	Swarm / Gang	On Reveal: Add a 1-Power Drone here.
Deck 08 — Swarm / Gang	069	Block Party	2	2	Object	Merc	Swarm / Gang	Ongoing: If this lane is full, your cards here have +1 Power.
Deck 08 — Swarm / Gang	070	Pack Tactics	3	2	Object	Military Merc	Swarm / Gang	On Reveal: Give your other cards here +1 Power.
Deck 08 — Swarm / Gang	071	Signal Rally	3	3	Object	AI	Swarm / Gang	Ongoing: Your 1-Cost cards have +1 Power.
Deck 08 — Swarm / Gang	073	Gutter Legion	5	5	Character	Merc	Swarm / Gang	Ongoing: Your full locations have +3 Power.
Deck 08 — Swarm / Gang	074	Hive Riot	6	4	Object	Drone AI	Swarm / Gang	On Reveal: Give your 1-Cost cards +2 Power.
